"file:///D:/documents/Programming/maui/maui-gui/videos/sample01.AVI",frame number,media-media distance(pixels),Top intima-media distance(pixels),Bottom intima-media distance(pixels),time(seconds),media-media distance(cm),Top intima-media distance(cm),Bottom intima-media distance(cm),intima-intima distance(pixels),intima-intima distance(cm)
"D:/documents/Programming/maui/maui-gui/videos",1,195.428,2.98319,3.29772,0,0.831609,0.0126944,0.0140328,189.147,0.804882
2020/01/02 16:05:49,2,193.299,3.19614,3.16797,0.04,0.822549,0.0136006,0.0134807,186.935,0.795468
235 pixels = 1 cm,3,190.71,3.4423,3.19537,0.08,0.811532,0.0146481,0.0135973,184.072,0.783286
MAUI version 4.7,4,188.779,3.32558,3.20425,0.12,0.803314,0.0141514,0.0136351,182.249,0.775527
,5,188.932,3.61993,3.40077,0.16,0.803967,0.015404,0.0144714,181.912,0.774092
,6,186.538,3.41063,3.09706,0.2,0.79378,0.0145133,0.013179,180.031,0.766088
,7,186.388,3.33324,3.1024,0.24,0.793141,0.014184,0.0132017,179.952,0.765755
,8,184.965,3.17785,3.09477,0.28,0.787085,0.0135228,0.0131692,178.692,0.760393
,9,183.947,3.21895,3.09847,0.32,0.782753,0.0136977,0.013185,177.63,0.75587
,10,183.294,3.39598,3.10176,0.36,0.779976,0.014451,0.013199,176.797,0.752326
,11,182.312,3.50899,3.09756,0.4,0.775795,0.0149319,0.0131811,175.705,0.747682
,12,180.625,3.74747,3.08634,0.44,0.768619,0.0159467,0.0131334,173.792,0.739539
,13,178.717,2.97428,3.09756,0.48,0.760497,0.0126565,0.0131811,172.645,0.734659
,14,178.809,2.96997,3.15811,0.52,0.760888,0.0126382,0.0134388,172.681,0.734811
,15,179.257,3.1015,3.14146,0.56,0.762796,0.0131979,0.0133679,173.014,0.73623
,16,182.061,3.44946,3.16159,0.6,0.774729,0.0146786,0.0134536,175.45,0.746597
,17,181.873,4.05365,4.0711,0.64,0.773927,0.0172496,0.0173238,173.748,0.739353
,18,184.964,3.93953,3.09062,0.68,0.787082,0.016764,0.0131516,177.934,0.757166
,19,196.182,3.37834,3.0918,0.72,0.834818,0.0143759,0.0131566,189.712,0.807286
,20,196.733,2.98472,3.10114,0.76,0.837162,0.0127009,0.0131963,190.647,0.811265
,21,196.819,3.06564,3.10468,0.8,0.837526,0.0130453,0.0132114,190.648,0.811269
,22,196.93,3.13085,3.12654,0.84,0.838,0.0133228,0.0133044,190.673,0.811373
,23,194.996,3.17495,3.12067,0.88,0.829769,0.0135104,0.0132794,188.7,0.802979
,24,194.315,3.22494,3.11768,0.92,0.826872,0.0137231,0.0132667,187.972,0.799882
,25,192.979,3.45993,3.10347,0.96,0.821185,0.0147231,0.0132063,186.415,0.793256
,26,191.741,4.17645,3.09398,1,0.815917,0.0177721,0.0131659,184.47,0.784979
,27,188.688,3.68601,3.06307,1.04,0.802928,0.0156852,0.0130343,181.939,0.774209
,28,187.376,3.28148,3.07048,1.08,0.797345,0.0139637,0.0130659,181.024,0.770315
,29,186.622,3.42987,3.07549,1.12,0.794136,0.0145952,0.0130872,180.117,0.766454
,30,185.06,3.30169,3.07346,1.16,0.78749,0.0140498,0.0130786,178.685,0.760362
,31,183.241,3.04399,3.07006,1.2,0.779747,0.0129532,0.0130641,177.126,0.75373
,32,182.713,3.08472,3.08338,1.24,0.777502,0.0131265,0.0131208,176.545,0.751255
,33,181.168,2.94127,3.07691,1.28,0.770927,0.012516,0.0130932,175.15,0.745317
,34,180.243,3.10229,3.09044,1.32,0.766991,0.0132012,0.0131508,174.05,0.740639
,35,180.131,2.96705,3.08198,1.36,0.766514,0.0126257,0.0131148,174.082,0.740773
,36,179.259,2.90998,3.20349,1.4,0.762806,0.0123829,0.0136319,173.146,0.736791
,37,178.16,2.90367,3.21499,1.44,0.758129,0.012356,0.0136808,172.042,0.732092
,38,177.785,2.90327,3.35281,1.48,0.756531,0.0123544,0.0142673,171.529,0.729909
,39,176.838,2.88965,3.33237,1.52,0.752503,0.0122964,0.0141803,170.616,0.726026
,40,177.178,2.99875,3.61705,1.56,0.753949,0.0127606,0.0153917,170.562,0.725797
,41,178.161,3.10261,4.0109,1.6,0.758131,0.0132026,0.0170676,171.047,0.727861
,42,180.072,3.42241,4.06337,1.64,0.766262,0.0145634,0.017291,172.586,0.734407
,43,194.464,7.05533,4.00785,1.68,0.827506,0.0300227,0.0170547,183.401,0.780428
,44,196.129,4.14272,3.04494,1.72,0.83459,0.0176286,0.0129572,188.941,0.804004
,45,197.026,3.64032,3.05585,1.76,0.838409,0.0154907,0.0130036,190.33,0.809914
,46,197.32,3.33446,3.04944,1.8,0.839659,0.0141892,0.0129763,190.936,0.812494
,47,196.646,3.03014,3.06013,1.84,0.836793,0.0128942,0.0130218,190.556,0.810877
,48,195.349,2.99514,3.0545,1.88,0.831274,0.0127453,0.0129979,189.3,0.805531
,49,194.722,3.43674,3.06269,1.92,0.828602,0.0146244,0.0130327,188.222,0.800945
,50,194.156,3.19227,3.05914,1.96,0.826196,0.0135841,0.0130176,187.905,0.799594
,51,193.247,3.47163,3.07111,2,0.822327,0.0147729,0.0130685,186.704,0.794485
,52,191.632,3.3612,3.07138,2.04,0.815454,0.014303,0.0130697,185.199,0.788081
,53,190.369,3.10871,3.06739,2.08,0.810082,0.0132286,0.0130527,184.193,0.783801
,54,188.477,3.29407,3.06188,2.12,0.802028,0.0140173,0.0130293,182.121,0.774982
,55,187.165,3.27843,3.0667,2.16,0.796446,0.0139507,0.0130498,180.82,0.769446
,56,186.052,3.02169,3.06211,2.2,0.791712,0.0128582,0.0130303,179.969,0.765824
,57,184.819,2.9745,3.06224,2.24,0.786464,0.0126574,0.0130308,178.782,0.760776
,58,183.64,3.03135,3.06951,2.28,0.781446,0.0128993,0.0130617,177.539,0.755485
,59,183.052,2.97648,3.07141,2.32,0.778947,0.0126659,0.0130698,177.005,0.753211
,60,181.976,2.95018,3.07245,2.36,0.774368,0.012554,0.0130743,175.954,0.748739
