file:///D:/documents/Programming/maui/maui-gui/videos/sample02.AVI,frame number,media-media distance(pixels),Top intima-media distance(pixels),Bottom intima-media distance(pixels),time(seconds),media-media distance(cm),Top intima-media distance(cm),Bottom intima-media distance(cm),intima-intima distance(pixels),intima-intima distance(cm)
D:/documents/Programming/maui/maui-gui/videos,54,156.299,6.28315,7.48717,2.12,0.831378,0.033421,0.0398254,142.529,0.758132
2020/01/02 17:54:41,55,155.619,6.13504,5.83222,2.16,0.827763,0.0326332,0.0310224,143.652,0.764107
188 pixels = 1 cm,56,154.336,6.45607,5.79751,2.2,0.820936,0.0343408,0.0308378,142.082,0.755757
MAUI version 4.7,57,154.393,6.84745,5.91733,2.24,0.82124,0.0364226,0.0314751,141.628,0.753342
,58,151.701,6.23943,5.69666,2.28,0.806918,0.0331885,0.0303014,139.764,0.743428
,59,151.89,7.22541,6.84496,2.32,0.807925,0.038433,0.0364093,137.82,0.733083
,60,151.254,6.9346,8.03345,2.36,0.804543,0.0368862,0.0427311,136.286,0.724926
,61,150.115,5.80048,8.08711,2.4,0.798484,0.0308536,0.0430165,136.227,0.724614
,62,149.882,5.97837,7.90294,2.44,0.797247,0.0317999,0.0420369,136.001,0.72341
,63,148.278,5.17402,8.0033,2.48,0.788713,0.0275214,0.0425707,135.101,0.718621
,64,148.475,5.56755,7.01577,2.52,0.789759,0.0296146,0.0373179,135.891,0.722826
,65,146.703,5.92608,7.79109,2.56,0.780333,0.0315217,0.041442,132.985,0.70737
,66,147.04,6.86406,7.41599,2.6,0.782128,0.0365109,0.0394468,132.76,0.70617
,67,146.056,7.00423,7.97494,2.64,0.776892,0.0372565,0.0424199,131.077,0.697216
,68,145.837,6.87918,6.55811,2.68,0.775731,0.0365914,0.0348836,132.4,0.704256
,69,145.995,6.54955,5.14251,2.72,0.776572,0.034838,0.0273538,134.303,0.71438
,70,147.311,6.4788,4.67839,2.76,0.783568,0.0344617,0.024885,136.154,0.724221
,71,149.769,6.45687,4.37765,2.8,0.796641,0.0343451,0.0232854,138.934,0.739011
,72,158.171,6.74166,9.53449,2.84,0.841333,0.0358599,0.0507154,141.894,0.754758
,73,161.008,7.54901,9.1306,2.88,0.856423,0.0401543,0.048567,144.328,0.767702
,74,161.609,6.45363,7.39009,2.92,0.859624,0.0343278,0.039309,147.766,0.785987
,75,159.815,6.48829,6.88264,2.96,0.850081,0.0345122,0.0366098,146.444,0.778959
,76,158.24,6.05785,6.85735,3,0.841702,0.0322226,0.0364753,145.325,0.773005
,77,155.785,5.15234,6.98445,3.04,0.828643,0.0274061,0.0371514,143.648,0.764085
,78,154.12,6.88332,7.66228,3.08,0.819785,0.0366134,0.0407568,139.574,0.742415
,79,154.302,6.43881,8.40884,3.12,0.820757,0.034249,0.0447279,139.455,0.741781
,80,154.954,5.30189,8.70378,3.16,0.824225,0.0282015,0.0462967,140.949,0.749727
,81,155.371,6.48858,8.27094,3.2,0.826443,0.0345137,0.0439944,140.612,0.747935
,82,154.488,8.19873,8.06767,3.24,0.821744,0.0436103,0.0429131,138.221,0.73522
,83,154.12,7.18977,7.79004,3.28,0.81979,0.0382434,0.0414364,139.141,0.74011
,84,153.02,6.37658,8.23226,3.32,0.813938,0.033918,0.0437886,138.412,0.736232
,85,152.561,7.44124,7.99392,3.36,0.811493,0.0395811,0.0425208,137.125,0.729391
,86,151.991,6.52608,8.49721,3.4,0.808463,0.0347132,0.0451979,136.968,0.728552
,87,150.783,6.59732,7.63274,3.44,0.802039,0.0350921,0.0405997,136.553,0.726347
,88,149.207,4.86793,8.35171,3.48,0.793654,0.0258932,0.044424,135.987,0.723337
,89,148.703,4.47991,8.36475,3.52,0.790971,0.0238293,0.0444933,135.858,0.722649
,90,147.683,4.91871,9.31573,3.56,0.78555,0.0261634,0.0495517,133.449,0.709834
,91,146.714,4.51523,9.12309,3.6,0.780392,0.0240172,0.0485271,133.075,0.707848
,92,146.098,4.45656,9.06645,3.64,0.777119,0.0237051,0.0482258,132.575,0.705188
,93,145.64,4.71853,8.13125,3.68,0.774683,0.0250986,0.0432513,132.791,0.706333
,94,145.004,5.06262,8.14524,3.72,0.771297,0.0269288,0.0433257,131.796,0.701042
,95,144.797,5.54575,8.10423,3.76,0.770194,0.0294986,0.0431076,131.147,0.697588
,96,144.469,6.70642,8.09575,3.8,0.768454,0.0356724,0.0430625,129.667,0.689719
,97,144.752,4.85572,5.54823,3.84,0.769958,0.0258283,0.0295118,134.348,0.714618
,98,146.983,5.0609,4.11856,3.88,0.781825,0.0269197,0.0219072,137.804,0.732998
,99,158.291,10.6307,8.93151,3.92,0.841973,0.0565461,0.047508,138.729,0.737919
,100,159.64,10.8532,8.76918,3.96,0.849147,0.05773,0.0466446,140.017,0.744772
,101,160.034,8.0671,8.25102,4,0.851242,0.0429101,0.0438884,143.715,0.764444
,102,158.83,4.8274,7.26429,4.04,0.844838,0.0256777,0.0386398,146.738,0.78052
,103,157.681,4.9675,6.74495,4.08,0.838728,0.0264229,0.0358774,145.968,0.776428
,104,155.387,4.86417,6.82577,4.12,0.826524,0.0258732,0.0363073,143.697,0.764344
,105,153.373,5.06867,7.28108,4.16,0.815812,0.026961,0.0387292,141.023,0.750122
,106,153.439,5.12841,7.48005,4.2,0.816165,0.0272788,0.0397875,140.83,0.749098
,107,153.658,5.02108,8.47088,4.24,0.817332,0.0267079,0.0450579,140.166,0.745566
,108,153.779,4.98986,7.33942,4.28,0.817974,0.0265418,0.0390394,141.45,0.752393
,109,153.41,6.4623,7.95945,4.32,0.81601,0.0343739,0.0423375,138.988,0.739298
,110,152.748,5.48138,7.60702,4.36,0.812491,0.0291563,0.0404629,139.66,0.742871
,111,152.423,5.51861,8.16576,4.4,0.810759,0.0293543,0.0434349,138.738,0.73797
,112,151.381,4.333,7.56302,4.44,0.805219,0.0230479,0.0402288,139.485,0.741942
,113,150.478,4.5833,8.35995,4.48,0.800416,0.0243793,0.0444678,137.535,0.731569
,114,149.796,4.41145,7.41227,4.52,0.796789,0.0234651,0.039427,137.973,0.733897
,115,148.42,5.0434,7.978,4.56,0.789468,0.0268266,0.0424362,135.399,0.720205
,116,147.752,5.7064,7.61565,4.6,0.785914,0.0303532,0.0405088,134.43,0.715052
,117,146.571,3.78756,7.50723,4.64,0.779633,0.0201466,0.0399321,135.276,0.719555
,118,145.1,3.7303,7.85435,4.68,0.771806,0.019842,0.0417784,133.515,0.710186
,119,145.462,3.93185,5.3305,4.72,0.773734,0.0209141,0.0283537,136.2,0.724467
,120,144.891,4.02976,5.75211,4.76,0.770698,0.0214349,0.0305963,135.109,0.718667
