file:///D:/documents/Programming/maui/maui-gui/videos/velocityType1.AVI,frame number,time(seconds),xLocation,peak positive(pixels),mean positive(pixels),mean negative(pixels),peak negative(pixels),peak all(pixels), mean all(pixels),peak positive(cm/s),mean positive(cm/s),mean negative(cm/s),peak negative(cm/s),peak all(cm/s),mean all(cm/s)
D:/documents/Programming/maui/maui-gui/videos,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/02 20:21:17,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1.88 pixels = 1 cm/s,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
MAUI version 4.7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
,2,0.0285714,5,0,0,0,0,0,0,0,0,0,0,0,0
,2,0.0285714,6,0,0,0,0,0,0,0,0,0,0,0,0
,2,0.0285714,7,28,18,0,0,28,18,14.8936,9.57447,0,0,14.8936,9.57447
,2,0.0285714,8,29,18,0,0,29,18,15.4255,9.57447,0,0,15.4255,9.57447
,3,0.0571429,9,30,18,0,0,30,18,15.9574,9.57447,0,0,15.9574,9.57447
,3,0.0571429,9.66667,30,17,0,0,30,17,15.9574,9.04255,0,0,15.9574,9.04255
,3,0.0571429,10.3333,30,17,0,0,30,17,15.9574,9.04255,0,0,15.9574,9.04255
,3,0.0571429,11,33,19,0,0,33,19,17.5532,10.1064,0,0,17.5532,10.1064
,4,0.0857143,12,39,21,0,0,39,21,20.7447,11.1702,0,0,20.7447,11.1702
,4,0.0857143,13,47,27,0,0,47,27,25,14.3617,0,0,25,14.3617
,4,0.0857143,14,56,32,0,0,56,32,29.7872,17.0213,0,0,29.7872,17.0213
,4,0.0857143,15,65,39,0,0,65,39,34.5745,20.7447,0,0,34.5745,20.7447
,5,0.114286,16,74,46,0,0,74,46,39.3617,24.4681,0,0,39.3617,24.4681
,5,0.114286,16.6667,84,52,0,0,84,52,44.6809,27.6596,0,0,44.6809,27.6596
,5,0.114286,17.3333,84,52,0,0,84,52,44.6809,27.6596,0,0,44.6809,27.6596
,5,0.114286,18,83,55,0,0,83,55,44.1489,29.2553,0,0,44.1489,29.2553
,6,0.142857,19,84,52,0,0,84,52,44.6809,27.6596,0,0,44.6809,27.6596
,6,0.142857,20,77,44,0,0,77,44,40.9574,23.4043,0,0,40.9574,23.4043
,6,0.142857,21,69,39,0,0,69,39,36.7021,20.7447,0,0,36.7021,20.7447
,6,0.142857,22,70,34,0,0,70,34,37.234,18.0851,0,0,37.234,18.0851
