"file:///D:/documents/Programming/maui/maui-gui/videos/velocityType2.avi",frame number,media-media distance(pixels),Top intima-media distance(pixels),Bottom intima-media distance(pixels),time(seconds),media-media distance(cm),Top intima-media distance(cm),Bottom intima-media distance(cm),intima-intima distance(pixels),intima-intima distance(cm),velocity xLocation,velocity peak positive(pixels),velocity mean positive(pixels),velocity mean negative(pixels),velocity peak negative(pixels),velocity peak all(pixels),velocity mean all(pixels),velocity peak positive(cm/s),velocity mean positive(cm/s),velocity mean negative(cm/s),velocity peak negative(cm/s),velocity peak all(cm/s),velocity mean all(cm/s),flow peak positive(mL/min),flow mean positive(mL/min),flow mean negative(mL/min),flow peak negative(mL/min),flow peak all(mL/min),flow mean all(mL/min)
"D:/documents/Programming/maui/maui-gui/videos",1,40.0452,3.24204,3.84547,0,0.593262,0.0480302,0.0569699,32.9577,0.488262,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/02 20:49:06,1,40.0452,3.24204,3.84547,0,0.593262,0.0480302,0.0569699,32.9577,0.488262,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.5 pixels = 1 cm,1,40.0452,3.24204,3.84547,0,0.593262,0.0480302,0.0569699,32.9577,0.488262,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7 pixels = 1 cm/s,1,40.0452,3.24204,3.84547,0,0.593262,0.0480302,0.0569699,32.9577,0.488262,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAUI version 4.7,2,41.7819,3.23773,3.77676,1,0.618991,0.0479663,0.055952,34.7674,0.515073,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,41.7819,3.23773,3.77676,1,0.618991,0.0479663,0.055952,34.7674,0.515073,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,41.7819,3.23773,3.77676,1,0.618991,0.0479663,0.055952,34.7674,0.515073,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,41.7819,3.23773,3.77676,1,0.618991,0.0479663,0.055952,34.7674,0.515073,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,39.2284,3.12805,3.30858,2,0.581162,0.0463414,0.0490159,32.7918,0.485805,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,39.2284,3.12805,3.30858,2,0.581162,0.0463414,0.0490159,32.7918,0.485805,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,39.2284,3.12805,3.30858,2,0.581162,0.0463414,0.0490159,32.7918,0.485805,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,39.2284,3.12805,3.30858,2,0.581162,0.0463414,0.0490159,32.7918,0.485805,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,40.0051,3.09226,3.77154,3,0.592668,0.0458113,0.0558747,33.1413,0.490982,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
